params,Avg. Sharpe Ratio,Avg. Return [%],Avg. Win Rate [%],Total Trades,Num Stocks Tested
"{'osc_len': 15, 'smth_len': 15, 'trail_len': 3, 'trail_mult': 10.0}",0.003672716071874028,63.27638186966346,39.254221366348375,29787,520
"{'osc_len': 15, 'smth_len': 15, 'trail_len': 3, 'trail_mult': 12.0}",0.005691683189241589,63.23229192004806,39.53582450961831,29514,520
"{'osc_len': 15, 'smth_len': 15, 'trail_len': 3, 'trail_mult': 15.0}",0.010992275246312038,71.04581562697116,39.41419754399071,29501,520
"{'osc_len': 15, 'smth_len': 15, 'trail_len': 5, 'trail_mult': 10.0}",-0.03991547384039156,57.73840678197115,39.216209392384535,20008,520
"{'osc_len': 15, 'smth_len': 15, 'trail_len': 5, 'trail_mult': 12.0}",-0.051274738017016284,53.52295540576923,38.99809885818538,19148,520
"{'osc_len': 15, 'smth_len': 15, 'trail_len': 5, 'trail_mult': 15.0}",-0.0565096253736312,44.07314078764423,39.176030869435216,18145,520
"{'osc_len': 15, 'smth_len': 15, 'trail_len': 7, 'trail_mult': 10.0}",-0.06054194353139294,42.987233895432695,39.69707426552479,17701,520
"{'osc_len': 15, 'smth_len': 15, 'trail_len': 7, 'trail_mult': 12.0}",-0.06749813326518239,39.26332807408654,39.502894592969234,16851,520
"{'osc_len': 15, 'smth_len': 15, 'trail_len': 7, 'trail_mult': 15.0}",-0.07360410457588826,39.58472795850962,39.00324636915028,15841,520
"{'osc_len': 15, 'smth_len': 21, 'trail_len': 3, 'trail_mult': 10.0}",0.00568106229172505,69.04745627759615,39.068905409185334,27367,520
"{'osc_len': 15, 'smth_len': 21, 'trail_len': 3, 'trail_mult': 12.0}",-0.008614090984279846,68.14234184163462,38.68445038049722,27078,520
"{'osc_len': 15, 'smth_len': 21, 'trail_len': 3, 'trail_mult': 15.0}",-0.005547497781302241,68.35430085596154,38.9056794461498,27065,520
"{'osc_len': 15, 'smth_len': 21, 'trail_len': 5, 'trail_mult': 10.0}",-0.0364160808766757,52.67985098961539,39.22998127815911,18716,520
"{'osc_len': 15, 'smth_len': 21, 'trail_len': 5, 'trail_mult': 12.0}",-0.046916132917197886,47.766813977115376,38.86125138367993,17930,520
"{'osc_len': 15, 'smth_len': 21, 'trail_len': 5, 'trail_mult': 15.0}",-0.052047821275808655,41.3823234197596,38.28151445193346,17010,520
"{'osc_len': 15, 'smth_len': 21, 'trail_len': 7, 'trail_mult': 10.0}",-0.05769951308506585,42.84856509942308,38.9746246373224,16247,520
"{'osc_len': 15, 'smth_len': 21, 'trail_len': 7, 'trail_mult': 12.0}",-0.06238626673811222,40.62895138533654,38.204955308744125,15542,520
"{'osc_len': 15, 'smth_len': 21, 'trail_len': 7, 'trail_mult': 15.0}",-0.06304031954393041,43.646019383173076,38.10390130295248,14683,520
"{'osc_len': 15, 'smth_len': 30, 'trail_len': 3, 'trail_mult': 10.0}",-0.011414773113802474,62.62664195283653,37.55056217130389,25356,520
"{'osc_len': 15, 'smth_len': 30, 'trail_len': 3, 'trail_mult': 12.0}",-0.014877198738078348,59.528147869663464,37.6807434048939,25069,520
"{'osc_len': 15, 'smth_len': 30, 'trail_len': 3, 'trail_mult': 15.0}",-0.0009225482347839522,71.49125933576924,38.29375909382976,24964,520
"{'osc_len': 15, 'smth_len': 30, 'trail_len': 5, 'trail_mult': 10.0}",-0.05162969336144814,46.399121776826924,37.78257289365531,17473,520
"{'osc_len': 15, 'smth_len': 30, 'trail_len': 5, 'trail_mult': 12.0}",-0.059260415091872166,46.35326349663462,37.1519501964526,16721,520
"{'osc_len': 15, 'smth_len': 30, 'trail_len': 5, 'trail_mult': 15.0}",-0.05865076606673316,48.49888412615384,36.672393845268196,15838,520
"{'osc_len': 15, 'smth_len': 30, 'trail_len': 7, 'trail_mult': 10.0}",-0.0733191048170885,38.96375620495192,37.15629200465155,15256,520
"{'osc_len': 15, 'smth_len': 30, 'trail_len': 7, 'trail_mult': 12.0}",-0.07629620511121948,41.603937733125,36.825253733669996,14508,520
