Stock,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion
688019,2019-07-22,2025-07-04,2174 days,98.26869806094183,6141.860392500008,17688.8083875,564.1736475,-38.581396074999915,146.19152084077345,-8.155085485335666,60.63125968282452,-5.493710844793198,-0.13450298621530735,-0.18779945649951657,-0.10584475029236964,-23.066598130056974,-0.10612652399889254,-77.04761419729635,-15.977301092000246,1857 days,153 days,45,44.44444444444444,49.48979591836735,-55.42320819112627,-1.1004656552046965,128 days,48 days,1.1543783345855267,1.1247165605512275,-0.2585110872707007,-0.056563454802250335
300609,2017-02-15,2025-07-04,3061 days,96.65847665847666,174.67394250000575,21799.26775,802.1709375000003,-98.25326057499994,206.6723695466211,-39.419902356446855,37.81786147286076,-28.337887410587605,-1.0423620168140857,-0.8901031082645914,-0.3969382433197568,-70.9627652212088,-0.1320471401845275,-99.30991286393092,-10.484625017510703,2914 days,251 days,73,35.61643835616438,42.75,-61.904761904761884,-5.4018837308348555,107 days,41 days,0.58264887930756,-3.627801230277431,-0.7019303774639856,-0.09998731090352303
688520,2020-06-22,2025-07-04,1838 days,95.9049959049959,18712.930889999996,18712.930889999996,586.9814774999998,87.12930889999996,16.88791569727659,13.806445895355335,59.24064641865158,8.97130525844907,0.23305697574239254,0.43741183757653423,0.23083946122617974,85.99750228592262,0.06701872713989535,-59.809730199584834,-14.002178627195724,821 days,129 days,43,39.53488372093023,68.50551654964893,-26.27401837928154,-0.1438137900518499,105 days,42 days,1.1715214360479063,0.7925916551655728,-0.07163274030206063,-0.012340151886895023
601818,2014-01-02,2025-07-04,4201 days,97.70279971284997,14580.753575000032,20482.511217500025,2236.0814250000008,45.80753575000032,130.3754266211604,3.4699570125892087,21.537530382625828,2.2879462908979686,0.16111211224980548,0.2507789901971509,0.0774144846873572,43.42378094035864,0.01828377380170192,-44.82309772651497,-8.946698902227023,2314 days,173 days,95,42.10526315789473,53.59281437125749,-24.689165186500883,0.4684769628708896,105 days,44 days,1.4421842197389356,0.7253221088017663,0.6239741697805656,0.07981994068289933
000948,2014-01-02,2025-07-04,4201 days,98.18181818181819,9407.460855000021,31206.08432000002,1902.7744349999994,-5.925391449999788,220.4956463496316,-0.56952846479148,56.08924670813007,-0.3657343807299096,-0.010153968865995263,-0.01571213537838279,-0.006264534783456124,-23.454034674684195,0.07949655022616592,-90.91312994151386,-21.52804985186276,2118 days,295 days,99,40.4040404040404,132.70321361058598,-40.405244338498214,0.028372065308057692,176 days,42 days,1.3269757059361384,1.8476005399522326,0.029414056189783908,0.00384675103339005
688131,2021-06-08,2025-07-04,1487 days,95.70552147239265,8251.055155000007,30862.35803000001,582.411735,-17.489448449999927,-53.97377404843186,-4.832840281258832,56.87519751240776,-3.205435668811585,-0.08497272084557617,-0.12635347543979217,-0.05945051743651151,-5.028573919490547,0.2308690609503786,-81.29181190760748,-10.757865502224053,471 days,51 days,35,40.0,54.49213161659512,-27.34560029149209,-0.6188219639508996,95 days,41 days,1.1717392714967152,1.231474369490043,-0.12590188051621182,-0.0241738387753761
301626,2024-10-24,2025-07-04,253 days,57.647058823529406,15140.469860000001,15140.469860000001,40.884240000000005,51.40469860000001,-8.434347715520897,84.9396791079208,85.39829057133919,51.15667833847366,0.9946297348535884,3.4807726968321937,2.6640170986596083,49.962602735606254,-0.17097894384174014,-31.88405928425081,-7.457820718792399,155 days,28 days,3,66.66666666666666,16.95259593679458,-13.137254901960793,1.2229827532929116,64 days,51 days,1.4497037801889694,1.9692910635726129,0.15061059919178207,0.14461339881626978
600267,2014-01-02,2025-07-04,4201 days,98.54651162790698,5273.142080000005,35846.80756000001,2219.785305,-47.26857919999995,-21.8618537114941,-5.691689152407475,35.07423094960171,-3.766088610703633,-0.16227552246507937,-0.22635036106424952,-0.06673353768168798,-44.945376099280416,0.1062674341974067,-85.28978606763273,-10.049667186539265,1935 days,111 days,108,37.96296296296296,46.71214705324995,-23.97094430992737,-0.31775368030367845,91 days,39 days,1.0680907508446171,0.2636236367098334,-0.09203531871243166,-0.010663608468072738
002936,2018-09-19,2025-07-04,2480 days,96.04622871046229,8739.312097500007,13914.616454999998,929.9875725000003,-12.606879024999925,-53.25264750378216,-2.0443796472302878,22.720530565064028,-1.3599387235105564,-0.0899793973285908,-0.13672157265443302,-0.04531019769249732,5.361510458538019,0.3374177684266642,-45.11963644706864,-15.788563296603652,1822 days,304 days,59,42.3728813559322,19.284294234592437,-15.261044176706818,-0.2871842926338797,107 days,41 days,0.9364883574842008,-0.13452914178101685,-0.3040566864719,-0.07705901028996665
688489,2022-12-02,2025-07-04,945 days,92.81150159744409,3288.300537499999,10000.0,134.19237750000002,-67.116994625,-48.85355648535565,-36.09217699094182,38.194075128108665,-25.66516172141813,-0.9449679530105976,-0.918774634562593,-0.44703591019604666,-66.22665611509215,0.018224640619045576,-80.73663920000001,-80.73663920000001,917 days,917 days,23,30.434782608695656,45.44491525423731,-26.369829203277707,-5.180180270917523,89 days,39 days,0.4995503150578955,-4.104466858206162,-2.0586953469059286,-0.8669152552339894
002067,2014-01-02,2025-07-04,4201 days,97.20630372492836,16754.679439999974,31996.269510000002,2507.7270000000003,67.54679439999974,88.88888888888891,4.7683372087102605,42.47815915410273,3.1442366779374176,0.11225385712717999,0.1793547299205079,0.06919327973931354,55.082885385188874,0.14021897641662223,-68.91329948045568,-16.01148558651969,2220 days,229 days,99,38.38383838383838,64.79289940828403,-29.922202274087372,0.5623946117576661,101 days,42 days,1.4004637666250772,1.5125364318205927,0.382776557932753,0.036224347118065325
600423,2014-01-02,2025-07-04,4201 days,97.62564305500594,1712.667537500014,12742.01637250001,977.0410424999998,-82.87332462499985,-10.027347310847778,-16.1352251195078,37.48036810343073,-10.043752869398359,-0.43049804300163425,-0.5422467588113027,-0.18290731739807034,-82.97784905925181,-0.010423936761308455,-88.21530679602012,-31.792791851066426,3172 days,520 days,91,35.16483516483517,44.55445544554455,-34.452054794520535,-1.9055588164110793,304 days,46 days,0.8153928122564833,-1.0363176955882079,-0.7529137270022939,-0.10533038266433375
600084,2014-01-02,2025-07-04,4201 days,98.31899921813917,27534.785309999952,53998.14613499999,3390.345435000001,175.34785309999953,48.751766368346665,10.492985822114086,56.17669092126245,6.2641124341704435,0.18678540245136743,0.3220758020095841,0.14894383359787916,170.25141895125583,0.10453845118630811,-70.4492798973015,-11.768779734694474,3241 days,138 days,88,40.909090909090914,60.10230179028131,-35.769128938310836,1.3792804521866264,377 days,47 days,1.5844970332781056,2.5708338554190626,0.5711147731680632,0.048573285819555
002987,2020-05-07,2025-07-04,1884 days,96.64804469273743,9043.295370000003,12119.155284999999,394.3139250000001,-9.567046299999966,283.6347197106691,-2.0021503350343695,54.040777958160945,-1.336083593462345,-0.03704888069125244,-0.056707372231927636,-0.024741562038742837,-29.393877830980443,0.06990269580256425,-80.92255177337631,-30.333282538963175,1758 days,464 days,47,51.06382978723404,57.37746984860148,-29.59719789842381,-1.0283085636870415,101 days,39 days,0.9779874662867999,-0.10776222222809563,-0.7387886042457632,-0.18198888390687662
