params,Num Stocks Tested,Total Trades,Sharpe Ratio,Return [%],Max. Drawdown [%],Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Avg. Drawdown [%],Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Profit Factor,Expectancy [%],SQN,Kelly Criterion,Max. Drawdown Duration,Avg. Drawdown Duration
"{'di_length': 30, 'adx_threshold': 20, 'di_diff_threshold': 25}",5402,1.0000,0.4804,0.0001,-0.0001,0.0001,100000.1198,100000.1953,150.4775,29.9989,0.0000,0.0001,0.0000,1.2329,0.6644,0.0001,0.0000,-0.4037,100.0000,0.6478,0.6478,0.6478,,0.6478,,,,
"{'di_length': 25, 'adx_threshold': 20, 'di_diff_threshold': 25}",5402,3.0000,0.0883,0.0029,-0.0030,0.0003,100002.9118,100006.5860,153.9263,29.9989,0.0013,0.0044,0.0009,0.6086,0.3641,0.0010,0.0000,-5.3916,66.6667,5.2475,5.2475,5.2475,0.0000,5.2475,,,,
"{'di_length': 25, 'adx_threshold': 25, 'di_diff_threshold': 25}",5402,3.0000,0.0883,0.0029,-0.0030,0.0003,100002.9118,100006.5860,153.9263,29.9989,0.0013,0.0044,0.0009,0.6086,0.3641,0.0010,0.0000,-5.3916,66.6667,5.2475,5.2475,5.2475,0.0000,5.2475,,,,
"{'di_length': 30, 'adx_threshold': 25, 'di_diff_threshold': 10}",5402,82.0000,-0.0107,0.0807,-0.1127,0.0095,100080.7088,100205.6743,157.6826,29.9989,0.0296,0.1472,0.0188,29.8818,19.6138,0.0714,0.0006,-7.5472,50.6250,5.5326,5.4495,5.4905,0.0040,5.4910,-1.0836,-2.8353,,
"{'di_length': 30, 'adx_threshold': 20, 'di_diff_threshold': 20}",5402,5.0000,-0.0409,0.0010,-0.0086,0.0006,100001.0083,100011.0329,150.7991,29.9989,0.0004,0.0090,0.0003,0.2491,0.1497,-0.0020,0.0000,-9.2580,40.0000,1.0900,1.0900,1.0900,0.0000,1.0900,,,,
"{'di_length': 30, 'adx_threshold': 25, 'di_diff_threshold': 15}",5402,14.0000,-0.0664,0.0003,-0.0198,0.0016,100000.3446,100021.4976,150.0533,29.9989,-0.0001,0.0208,-0.0001,1.1800,0.7410,0.0009,0.0001,-7.5081,42.8571,0.1330,0.1330,0.1330,0.0000,0.1330,,,,
"{'di_length': 10, 'adx_threshold': 20, 'di_diff_threshold': 5}",5402,26100.0000,-0.0763,2.4946,-9.1218,3.0008,102494.6327,109716.7088,736.8279,29.9989,0.8492,7.7758,0.5198,1.4780,1.3631,1.8793,0.0294,-6.4747,43.9164,8.1479,-4.0890,0.4309,9.8041,0.5857,-0.6291,-0.7533,0.0093,0.0093
"{'di_length': 10, 'adx_threshold': 25, 'di_diff_threshold': 5}",5402,17200.0000,-0.0772,2.0503,-6.9201,1.9738,102050.3434,107750.4312,497.5964,29.9989,0.7285,6.2366,0.4519,3.7353,2.9465,1.6437,0.0209,-5.3468,44.5791,6.2264,-3.0611,0.6521,4.8091,0.7845,-1.3671,-1.1697,0.0093,0.0093
"{'di_length': 10, 'adx_threshold': 30, 'di_diff_threshold': 5}",5402,11010.0000,-0.0869,1.3442,-5.0147,1.2589,101344.1621,105652.2226,346.8203,29.9989,0.4625,4.6740,0.2868,5.5263,3.9150,1.0661,0.0141,-4.5194,44.8878,4.2518,-2.0325,0.6542,2.8142,0.7524,1.8008,-1.5348,,
"{'di_length': 25, 'adx_threshold': 25, 'di_diff_threshold': 15}",5402,34.0000,-0.0871,0.0457,-0.0385,0.0037,100045.7105,100086.6100,155.4176,29.9989,0.0159,0.0578,0.0100,42.5806,27.4727,0.0308,0.0002,-6.0466,44.1176,7.2733,7.2733,7.2733,0.0000,7.2733,,,,
"{'di_length': 15, 'adx_threshold': 20, 'di_diff_threshold': 5}",5402,8721.0000,-0.1045,1.5071,-4.6207,0.9982,101507.0608,105632.0147,297.4666,29.9989,0.5632,4.5813,0.3530,inf,4.8838,1.2444,0.0150,-4.7624,43.9988,4.1331,-1.4026,1.0077,4.2915,1.1062,-1.8821,-1.5254,,
"{'di_length': 30, 'adx_threshold': 20, 'di_diff_threshold': 15}",5402,24.0000,-0.1066,0.0076,-0.0283,0.0025,100007.6397,100037.4230,151.2557,29.9989,0.0026,0.0333,0.0016,10.4293,6.7067,0.0055,0.0001,-6.2257,41.6667,1.7214,1.7214,1.7214,0.0000,1.7214,,,,
"{'di_length': 30, 'adx_threshold': 20, 'di_diff_threshold': 10}",5402,154.0000,-0.1103,0.0886,-0.1936,0.0170,100088.6052,100299.1759,156.2597,29.9989,0.0318,0.2319,0.0201,19.7385,12.9287,0.0750,0.0009,-6.8284,43.0000,3.2858,3.0238,3.1493,0.0586,3.1548,-0.3835,-0.8027,0.0162,0.0162
"{'di_length': 25, 'adx_threshold': 30, 'di_diff_threshold': 15}",5402,17.0000,-0.1118,0.0236,-0.0244,0.0019,100023.6342,100050.1665,155.5976,29.9989,0.0080,0.0337,0.0050,38.0022,24.5164,0.0105,0.0001,-7.7239,41.1765,7.5238,7.5238,7.5238,0.0000,7.5238,,,,
"{'di_length': 30, 'adx_threshold': 30, 'di_diff_threshold': 10}",5402,40.0000,-0.1138,0.0108,-0.0618,0.0045,100010.7670,100079.1171,151.0442,29.9989,0.0043,0.0669,0.0027,10.2814,7.0149,0.0121,0.0003,-8.2899,42.5000,1.4569,1.4569,1.4569,0.0000,1.4569,,,,
"{'di_length': 10, 'adx_threshold': 25, 'di_diff_threshold': 10}",5402,7164.0000,-0.1189,0.9611,-3.7907,0.8195,100961.1408,104372.0039,269.0653,29.9989,0.3352,3.6911,0.2074,6.9237,4.9102,0.7246,0.0106,-4.3707,43.9930,3.2122,-1.2967,0.6967,2.3601,0.7756,-2.2431,-1.5400,0.0093,0.0093
"{'di_length': 15, 'adx_threshold': 30, 'di_diff_threshold': 5}",5402,2894.0000,-0.1192,0.6277,-1.8751,0.3271,100627.7374,102423.6524,191.1692,29.9989,0.2548,2.0236,0.1604,11.9471,8.0624,0.5570,0.0063,-4.0449,43.9537,2.2684,0.3928,1.2538,3.3633,1.2924,-4.1857,-1.7189,,
"{'di_length': 10, 'adx_threshold': 30, 'di_diff_threshold': 10}",5402,4610.0000,-0.1228,0.6296,-2.6205,0.5239,100629.6150,103033.6096,220.9102,29.9989,0.2186,2.6257,0.1349,8.2770,5.6656,0.4544,0.0072,-4.0134,43.9149,2.2787,-0.5450,0.7242,1.7266,0.7763,-2.9980,-1.8174,,
"{'di_length': 15, 'adx_threshold': 25, 'di_diff_threshold': 5}",5402,5080.0000,-0.1252,0.9072,-3.0325,0.5775,100907.2449,103747.1931,228.6186,29.9989,0.3480,3.1069,0.2175,9.4092,6.3334,0.7697,0.0097,-4.3434,43.1809,2.8618,-0.4370,1.0581,2.2887,1.1213,-3.6052,-1.3842,,
"{'di_length': 10, 'adx_threshold': 20, 'di_diff_threshold': 10}",5402,10728.0000,-0.1285,1.1143,-5.2428,1.2308,101114.2661,105693.9481,347.3827,29.9989,0.3650,4.8184,0.2210,4.5973,3.3328,0.7633,0.0148,-5.0220,43.6287,4.1842,-2.1937,0.5218,2.8114,0.6250,-2.0907,-2.4981,0.0093,0.0093
"{'di_length': 25, 'adx_threshold': 20, 'di_diff_threshold': 15}",5402,52.0000,-0.1309,0.0448,-0.0569,0.0056,100044.7836,100105.4202,153.4567,29.9989,0.0152,0.0754,0.0095,28.2073,18.2005,0.0245,0.0002,-5.8299,40.3846,4.6592,4.6592,4.6592,0.0000,4.6592,,,,
"{'di_length': 10, 'adx_threshold': 25, 'di_diff_threshold': 15}",5402,3170.0000,-0.1500,0.3755,-1.9676,0.3572,100375.5377,102223.2307,199.1790,29.9989,0.1281,1.9890,0.0777,8.7929,6.0319,0.2425,0.0052,-4.0375,42.9354,1.8051,-0.3076,0.6469,1.1618,0.6876,-3.6566,-2.4001,0.0093,0.0093
"{'di_length': 10, 'adx_threshold': 30, 'di_diff_threshold': 15}",5402,2055.0000,-0.1522,0.2401,-1.3339,0.2311,100240.1136,101503.9466,180.0944,29.9989,0.0837,1.3629,0.0505,8.4485,5.8263,0.1400,0.0035,-3.9001,42.7836,1.3327,0.0144,0.6168,0.9965,0.6446,-4.9939,-2.7351,0.0007,0.0007
"{'di_length': 20, 'adx_threshold': 20, 'di_diff_threshold': 5}",5402,3734.0000,-0.1537,0.7971,-2.4975,0.4212,100797.0869,103191.2158,203.7622,29.9989,0.2841,2.6333,0.1782,10.9401,7.2974,0.6460,0.0085,-4.4587,41.5398,2.6488,0.1078,1.2718,1.4942,1.3249,-2.9001,-5.7048,0.0007,0.0007
"{'di_length': 25, 'adx_threshold': 30, 'di_diff_threshold': 10}",5402,77.0000,-0.1616,0.0310,-0.0962,0.0088,100030.9887,100132.4927,153.5765,29.9989,0.0102,0.1052,0.0063,16.1941,10.4627,0.0178,0.0004,-6.7622,35.5263,2.2172,2.2081,2.2126,0.0000,2.2126,-1.4279,,,
"{'di_length': 20, 'adx_threshold': 25, 'di_diff_threshold': 20}",5402,21.0000,-0.1657,0.0138,-0.0228,0.0022,100013.8392,100039.6031,152.6411,29.9989,0.0047,0.0281,0.0030,18.6686,12.0667,0.0022,0.0001,-5.7864,42.8571,3.5665,3.5665,3.5665,0.0000,3.5665,,,,
"{'di_length': 10, 'adx_threshold': 20, 'di_diff_threshold': 15}",5402,4732.0000,-0.1671,0.4192,-2.8197,0.5350,100419.1898,103027.0033,229.3472,29.9989,0.1296,2.7094,0.0756,6.5612,4.5718,0.2211,0.0074,-4.3724,41.9654,2.1569,-1.0084,0.4168,2.1177,0.4784,-3.7349,-2.6536,0.0050,0.0050
