params,Num Stocks Tested,Total Trades,Sharpe Ratio,Return [%],Max. Drawdown [%],Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Avg. Drawdown [%],Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Profit Factor,Expectancy [%],SQN,Kelly Criterion,Max. Drawdown Duration,Avg. Drawdown Duration
"{'n_len': 5, 'atr_multiplier': 3.5}",5402,0.0000,0.2338,0.9849,-0.2954,0.0000,100984.9060,101395.0046,,42.2180,0.1939,0.8245,0.0787,0.7543,0.6729,-0.4603,0.0031,-25.8782,,,,,,,,,,
"{'n_len': 5, 'atr_multiplier': 2.5}",5402,272.0000,0.0438,18.7286,-33.1915,1.6482,118728.5790,152531.7011,140.3380,42.2180,3.1289,30.2951,1.6345,inf,0.1143,-5.0806,0.3567,-25.4860,22.2015,-14.6975,-15.2582,-15.0200,0.0007,-14.9778,-1.8303,-3.1566,,
"{'n_len': 10, 'atr_multiplier': 4.0}",5402,397.0000,0.0417,20.6391,-41.6694,2.7160,120639.0678,162681.2641,128.4953,39.1827,3.4669,36.2350,1.8406,0.1511,0.1130,-5.7867,0.4488,-24.5400,10.7969,-30.2523,-30.6369,-30.4783,0.0000,-30.4446,-2.7405,,,
"{'n_len': 5, 'atr_multiplier': 3.0}",5402,4.0000,0.0179,4.9913,-6.7117,0.0090,104991.2553,111845.9855,188.2237,42.2180,0.8799,7.7807,0.3966,inf,0.1235,-2.8537,0.0648,-26.8319,75.0000,50.9893,50.9893,50.9893,0.0000,50.9893,,,,
"{'n_len': 10, 'atr_multiplier': 3.5}",5402,2038.0000,-0.0203,16.8504,-48.3851,13.9270,116850.3717,171910.0270,139.3033,39.1827,1.9687,40.5794,0.7868,0.0672,0.0770,-13.7215,0.5440,-25.0898,12.7663,-23.6951,-27.3973,-25.9428,0.0679,-25.5638,-6.3518,-9.6348,,
"{'n_len': 15, 'atr_multiplier': 1.0}",5402,109190.0000,-0.0536,21.8487,-50.4813,47.7117,121848.7173,186819.5571,3091.0173,39.2786,1.9669,54.0885,0.7836,0.0465,0.0781,-3.2588,0.5370,-19.6458,34.9404,51.5828,-15.0015,0.0594,1.3463,1.3374,-0.1211,-0.1098,,
"{'n_len': 5, 'atr_multiplier': 2.0}",5402,4133.0000,-0.0568,14.1207,-51.7665,28.0282,114120.7010,178802.6993,170.4196,42.2180,1.1819,50.9159,0.1028,0.0206,0.0672,-19.2279,0.6146,-24.6365,25.7545,-4.8348,-15.3691,-11.2706,0.5282,-10.1871,-6.2359,-9.3601,,
"{'n_len': 10, 'atr_multiplier': 1.0}",5402,123624.0000,-0.0606,22.2325,-50.4353,48.8407,122232.4504,187836.6610,3510.1580,39.1827,2.2145,85.1333,0.7906,0.0483,0.0954,-2.9807,0.5391,-20.2939,35.3957,51.8688,-15.2253,0.0212,1.3181,1.2014,-0.3206,-0.0981,,
"{'n_len': 20, 'atr_multiplier': 1.0}",5402,96163.0000,-0.0625,20.1505,-50.6307,46.6179,120150.5466,185518.1363,2704.9390,41.3828,1.6403,68.0060,0.5772,0.0339,0.0774,-6.0133,0.5336,-19.4341,34.4147,51.0850,-14.9563,-0.0098,1.3810,1.3717,-0.3493,-0.1284,,
"{'n_len': 25, 'atr_multiplier': 1.0}",5402,85903.0000,-0.0703,17.5521,-50.7591,45.7530,117552.0621,183897.2570,2394.6619,46.6353,1.2832,159.0060,0.3492,0.0186,0.0752,-11.7323,0.5316,-19.3769,33.3132,50.6417,-15.0638,-0.1352,1.3554,1.3447,-0.4103,-0.1509,,
"{'n_len': 15, 'atr_multiplier': 4.0}",5402,3936.0000,-0.0881,9.0909,-51.4878,24.7411,109090.9198,172043.2027,153.8604,39.2786,-0.2628,40.6603,-0.7125,-0.0251,0.0347,-22.6228,0.5672,-25.5581,13.2470,-20.0093,-27.8136,-24.6526,0.0853,-23.9782,-4.8863,-15.4333,,
"{'n_len': 5, 'atr_multiplier': 1.0}",5402,98138.0000,-0.0932,16.1309,-52.9783,50.2937,116130.9299,185230.4416,2746.1993,42.2180,0.4047,80.1729,-0.1960,-0.0133,0.0486,-11.6840,0.5611,-21.0397,34.6739,52.3024,-17.5204,-0.4158,1.3103,1.0159,-0.4323,-0.1507,,
"{'n_len': 30, 'atr_multiplier': 1.0}",5402,78372.0000,-0.1014,12.0566,-51.5564,44.6557,112056.6401,180081.3425,2137.6516,37.0139,-0.1577,108.6277,-0.5310,-0.0413,0.0276,-11.5868,0.5267,-19.5860,31.7804,49.4313,-15.2555,-0.4983,1.3002,1.0455,-0.5246,-0.1975,0.0405,0.0405
"{'n_len': 10, 'atr_multiplier': 3.0}",5402,6072.0000,-0.1108,7.3560,-53.4678,34.0548,107356.0398,176295.4822,185.8495,39.1827,-0.9516,44.4666,-1.1950,-0.0575,0.0199,-24.5610,0.6009,-24.9110,18.7498,-8.8318,-23.7701,-17.8469,0.2883,-16.5543,-3.8464,-5.5363,,
"{'n_len': 15, 'atr_multiplier': 1.5}",5402,70257.0000,-0.1161,9.7233,-53.1530,46.2107,109723.2922,180616.9843,1904.6605,39.2786,-0.6717,5795.5717,-0.8810,inf,0.0225,-16.4174,0.5500,-20.4661,32.9589,49.5091,-17.4000,-0.7388,1.2873,1.0042,-0.5560,-0.4178,,
"{'n_len': 20, 'atr_multiplier': 1.5}",5402,67396.0000,-0.1223,8.8919,-52.8861,44.8895,108891.8997,179792.0104,1819.0692,41.3828,-0.8794,390.7023,-1.0090,-0.0673,0.0223,-17.9452,0.5393,-20.5023,32.7302,47.9353,-17.2663,-0.8325,1.3098,0.9054,-0.5835,-0.3440,,
"{'n_len': 35, 'atr_multiplier': 1.0}",5402,72110.0000,-0.1278,8.2849,-52.3151,43.7369,108284.8846,178434.5809,1939.3896,36.0981,-1.0746,51.0818,-1.1342,-0.0801,0.0094,-14.8446,0.5233,-19.8660,30.4714,48.5164,-15.3916,-0.8261,1.2695,0.8022,-0.6523,-0.2495,0.0405,0.0405
"{'n_len': 10, 'atr_multiplier': 1.5}",5402,64474.0000,-0.1361,7.6035,-54.2514,48.7699,107603.5272,181877.8712,1728.1015,39.1827,-0.9545,1923.9147,-1.2198,-0.0786,0.0227,-19.6652,0.5728,-21.1929,33.0776,49.3604,-18.6031,-0.9707,1.3296,0.9421,-0.5761,-0.3485,,
"{'n_len': 25, 'atr_multiplier': 1.5}",5402,63607.0000,-0.1388,6.1348,-53.2172,44.3024,106134.8123,178349.9596,1703.0693,46.6353,-1.4938,5507.8702,-1.4141,-0.0932,0.0131,-23.8121,0.5369,-20.6787,32.0900,47.0424,-17.3693,-1.0802,1.2887,0.7047,-0.6336,-0.3715,0.0214,0.0214
"{'n_len': 15, 'atr_multiplier': 3.5}",5402,7561.0000,-0.1427,3.1681,-54.0579,38.2497,103168.1176,174622.2582,208.5126,39.2786,-1.9340,41.5671,-1.8323,-0.1018,0.0006,-28.9085,0.5973,-24.9233,19.3937,-4.8217,-23.5719,-16.0065,0.4753,-14.5322,-4.9309,-5.0701,,
"{'n_len': 20, 'atr_multiplier': 4.0}",5402,6903.0000,-0.1481,2.2340,-54.0268,36.0730,102234.0246,172955.9024,193.1923,41.3828,-2.1180,40.9014,-1.9372,-0.1093,-0.0017,-31.0131,0.5885,-25.2136,17.1379,-8.8584,-24.6979,-18.2296,0.4423,-16.9638,-6.7322,-5.2892,,
"{'n_len': 40, 'atr_multiplier': 1.0}",5402,67053.0000,-0.1524,4.3625,-53.0808,42.9020,104362.5147,175503.1043,1771.6685,36.7859,-2.0334,39.0831,-1.7332,-0.1165,-0.0065,-18.9299,0.5207,-20.2369,29.6901,47.1100,-15.7925,-1.1886,1.2178,0.4895,-0.7710,-0.3066,0.0405,0.0405
"{'n_len': 5, 'atr_multiplier': 1.5}",5402,22649.0000,-0.1571,3.2490,-56.0102,52.0420,103249.0424,183397.6020,583.2962,42.2180,-2.1112,357.9229,-2.0010,-0.1168,0.0019,-28.8465,0.6186,-22.4200,33.7399,32.8976,-23.1574,-4.0603,1.8803,-0.8944,-1.0656,-5.1689,0.0093,0.0093
"{'n_len': 10, 'atr_multiplier': 2.5}",5402,13703.0000,-0.1649,0.9131,-55.7960,47.1192,100913.1401,178693.8062,341.2956,39.1827,-2.4056,46.1638,-2.2500,inf,0.0001,-30.4209,0.6167,-23.4943,27.7949,14.8052,-23.3164,-8.9191,3.2300,-6.1810,-2.8083,-4.9077,,
"{'n_len': 25, 'atr_multiplier': 4.0}",5402,8785.0000,-0.1653,0.6975,-54.8964,39.9004,100697.5138,173816.6827,225.8218,46.6353,-2.6845,40.7992,-2.3157,-0.1348,-0.0163,-35.8953,0.5943,-24.9189,19.2104,-2.2250,-23.2869,-14.7438,0.6115,-13.1889,-5.7477,-5.6562,,
"{'n_len': 30, 'atr_multiplier': 1.5}",5402,59576.0000,-0.1689,1.9433,-53.8532,43.4795,101943.3267,175176.9775,1566.4387,37.0139,-2.4284,57.8615,-2.0552,-0.1329,-0.0032,-22.2038,0.5313,-20.7907,31.0914,45.6322,-17.6261,-1.4682,1.2273,0.3634,-0.7632,-0.4787,0.0214,0.0214
"{'n_len': 30, 'atr_multiplier': 4.0}",5402,10072.0000,-0.1735,-0.5623,-55.1939,41.2170,99437.6671,173051.6523,251.5910,37.0139,-2.8887,40.6322,-2.4729,-0.1465,-0.0192,-30.1537,0.5926,-24.5400,20.4543,1.5831,-22.9528,-13.0981,0.7440,-11.3342,-4.6545,-5.0244,,
"{'n_len': 45, 'atr_multiplier': 1.0}",5402,62997.0000,-0.1779,0.4882,-53.8022,42.1606,100488.1972,172943.9445,1633.1066,38.2351,-2.9381,38.0602,-2.3129,-0.1515,-0.0209,-23.7390,0.5183,-20.8379,29.0249,45.7632,-16.4450,-1.5815,1.1836,0.1482,-0.8713,-0.3766,0.0256,0.0256
"{'n_len': 35, 'atr_multiplier': 4.0}",5402,11053.0000,-0.1795,-1.6065,-55.2501,40.7239,98393.5419,171715.4494,273.2874,36.0981,-3.0486,40.0064,-2.5560,-0.1558,-0.0226,-29.8616,0.5830,-24.3271,20.9732,3.7374,-22.6192,-12.1214,1.2196,-10.2987,-3.6244,-6.5224,0.0149,0.0149
"{'n_len': 15, 'atr_multiplier': 3.0}",5402,13188.0000,-0.1817,-1.6609,-55.4973,46.8421,98339.0760,176305.2294,324.9797,39.2786,-3.1845,43.9207,-2.6530,-0.1579,-0.0270,-33.0964,0.6053,-23.8566,26.3899,12.3191,-22.6796,-9.1900,1.5011,-6.7774,-3.2452,-4.5405,,
"{'n_len': 55, 'atr_multiplier': 4.0}",5402,12756.0000,-0.1829,-1.8811,-54.4041,35.4759,98118.9138,167454.3434,319.3279,35.5634,-2.8969,38.0856,-2.4280,-0.1619,-0.0226,-27.7956,0.5373,-23.8106,20.8222,6.2387,-22.1048,-11.1736,0.6486,-9.4391,-4.1743,-3.0502,0.0405,0.0405
