params,Num Stocks Tested,Total Trades,Sharpe Ratio,Return [%],Max. Drawdown [%],Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Avg. Drawdown [%],Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Profit Factor,Expectancy [%],SQN,Kelly Criterion,Max. Drawdown Duration,Avg. Drawdown Duration
"{'n_len': 5, 'atr_multiplier': 1.5}",5402,58424.0000,0.1622,19.1535,-19.7794,4.0399,119153.5003,136249.2941,1757.8056,42.2180,3.6482,16.3903,2.3099,1.1167,0.9618,13.7656,0.0912,-11.4695,46.6017,22.0307,-8.4240,1.3889,2.6916,1.8411,0.1157,-0.8121,0.0093,0.0093
"{'n_len': 10, 'atr_multiplier': 2.5}",5402,39951.0000,0.0936,12.0094,-18.7098,2.7105,112009.4261,128890.0131,1168.5857,39.1827,2.1582,14.7775,1.3451,inf,0.4445,7.7323,0.0783,-11.9929,45.6415,19.1684,-8.0409,1.3834,4.2646,1.8643,0.0458,-0.3301,,
"{'n_len': 10, 'atr_multiplier': 2.0}",5402,74801.0000,0.0902,15.0239,-22.9716,5.1449,115023.9120,134435.6019,2188.8690,39.1827,2.5722,17.2795,1.5984,0.6568,0.4894,9.5683,0.1041,-13.1927,43.3239,22.8561,-9.1511,0.7222,1.8589,1.1363,0.1092,-0.0198,0.0093,0.0093
"{'n_len': 5, 'atr_multiplier': 1.0}",5402,188263.0000,0.0849,23.5497,-29.3381,13.3078,123549.7087,148062.0588,5676.6177,42.2180,3.9271,21.6044,2.4078,0.4303,0.3340,15.1944,0.1535,-13.7062,45.0748,25.8649,-10.0775,0.3781,1.4191,0.6634,0.1844,-1.5009,,
"{'n_len': 25, 'atr_multiplier': 1.0}",5402,210099.0000,0.0713,17.6492,-29.1460,14.9532,117649.1838,139600.8860,6057.9599,46.6353,2.9519,19.9140,1.7972,0.3791,0.2970,10.8706,0.1402,-13.2227,45.8330,23.5848,-9.6758,0.3011,1.3761,0.5223,0.1504,-0.3080,,
"{'n_len': 30, 'atr_multiplier': 1.0}",5402,194700.0000,0.0708,16.5240,-28.0072,13.8606,116524.0429,137245.3136,5586.1368,37.0139,2.7478,19.0980,1.6955,0.3469,0.2241,11.5696,0.1309,-12.8528,45.9902,22.8513,-9.5212,0.3117,1.3925,0.5297,0.1488,0.0158,0.0405,0.0405
"{'n_len': 10, 'atr_multiplier': 1.5}",5402,141233.0000,0.0636,17.7900,-27.8784,9.8980,117790.0425,140678.3777,4116.4730,39.1827,2.9116,20.1161,1.7820,0.3564,0.2410,10.9228,0.1375,-14.3014,42.7148,25.7920,-9.7230,0.3864,1.4659,0.7160,0.0554,-0.2831,,
"{'n_len': 35, 'atr_multiplier': 1.0}",5402,181956.0000,0.0550,14.3570,-27.3103,12.9472,114357.0382,134816.2443,5197.8200,36.0981,2.3036,18.4104,1.4158,0.3128,0.1999,9.9000,0.1236,-12.9101,45.9714,21.9867,-9.3455,0.2834,1.3890,0.4965,0.1225,0.0076,0.0405,0.0405
"{'n_len': 20, 'atr_multiplier': 1.0}",5402,228133.0000,0.0506,17.5526,-30.9871,16.2480,117552.6215,140930.6759,6525.3874,41.3828,2.8507,20.9272,1.7080,0.3438,0.2897,10.8428,0.1534,-13.9958,45.4854,24.2212,-9.9853,0.2496,1.3210,0.4724,0.1213,-0.3582,,
"{'n_len': 10, 'atr_multiplier': 1.0}",5402,248089.0000,0.0490,21.4140,-31.8872,17.6637,121414.0242,147571.2668,7235.4311,39.1827,3.3633,22.5925,2.0246,0.3529,0.2984,13.4296,0.1721,-14.7012,44.3647,26.2031,-10.2125,0.2511,1.3117,0.4949,0.1146,-1.8942,,
