params,Num Stocks Tested,Total Trades,Sharpe Ratio,Return [%],Max. Drawdown [%],Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Avg. Drawdown [%],Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Profit Factor,Expectancy [%],SQN,Kelly Criterion,Max. Drawdown Duration,Avg. Drawdown Duration
"{'len_short': 20, 'len_mid': 50, 'len_long': 160, 'adx_len': 16, 'adx_threshold': 21}",5402,29184.0000,-0.0719,6.4007,-24.1560,10.0149,106400.6646,134531.4824,916.4825,23.9758,0.8479,14.1616,0.4225,inf,0.0707,1.4082,0.0947,-11.6962,41.7981,18.9935,-9.4205,0.3014,4.3554,1.1218,-0.6419,-1.8263,0.0039,0.0039
"{'len_short': 20, 'len_mid': 60, 'len_long': 160, 'adx_len': 16, 'adx_threshold': 21}",5402,26751.0000,-0.0730,6.5339,-24.0285,10.0522,106533.8737,135247.2534,849.4331,23.9758,0.8478,14.1206,0.4300,inf,0.0631,1.4375,0.0958,-11.6527,42.7092,18.7691,-9.2809,0.4911,2.9254,1.3392,-0.4423,-0.9032,0.0059,0.0059
"{'len_short': 20, 'len_mid': 50, 'len_long': 160, 'adx_len': 13, 'adx_threshold': 21}",5402,31725.0000,-0.0732,6.6841,-25.1422,10.8854,106684.0847,136103.9209,995.4446,23.9758,0.8267,15.9977,0.4156,inf,0.0686,1.3632,0.1027,-11.8733,41.9424,19.4953,-9.7238,0.2339,4.4232,1.0398,-0.3953,-2.5275,0.0041,0.0041
"{'len_short': 15, 'len_mid': 50, 'len_long': 160, 'adx_len': 16, 'adx_threshold': 21}",5402,29232.0000,-0.0735,6.3732,-24.2092,10.0231,106373.2405,134596.9839,917.6956,23.9758,0.8345,14.1644,0.4127,inf,0.0699,1.3733,0.0947,-11.7101,41.7281,18.9733,-9.4409,0.2917,4.3238,1.1111,-0.7835,-2.0330,0.0039,0.0039
"{'len_short': 15, 'len_mid': 60, 'len_long': 160, 'adx_len': 16, 'adx_threshold': 21}",5402,26818.0000,-0.0746,6.5145,-24.0815,10.0695,106514.4898,135275.1439,851.4847,23.9758,0.8332,14.1308,0.4203,inf,0.0629,1.4150,0.0958,-11.6768,42.6972,18.7362,-9.3100,0.4707,2.8673,1.3157,-0.4777,-0.8686,0.0059,0.0059
"{'len_short': 20, 'len_mid': 40, 'len_long': 160, 'adx_len': 16, 'adx_threshold': 21}",5402,32592.0000,-0.0748,6.5610,-24.2526,9.9565,106561.0372,134172.1570,1009.8464,23.9758,0.8402,14.2133,0.3985,inf,0.0854,1.5746,0.0929,-11.8469,41.0787,19.0805,-9.5536,0.2480,2.7731,1.0526,-0.5323,-1.0716,0.0028,0.0028
"{'len_short': 15, 'len_mid': 50, 'len_long': 160, 'adx_len': 13, 'adx_threshold': 21}",5402,31876.0000,-0.0749,6.6056,-25.2513,10.9335,106605.5682,136170.3320,999.9849,23.9758,0.8053,16.0368,0.4010,inf,0.0675,1.2592,0.1029,-11.9008,41.8661,19.5216,-9.7806,0.2248,4.3536,1.0302,-0.4108,-1.1672,0.0041,0.0041
"{'len_short': 20, 'len_mid': 50, 'len_long': 160, 'adx_len': 14, 'adx_threshold': 21}",5402,30871.0000,-0.0752,6.4711,-24.8395,10.5858,106471.0593,135498.0958,969.1928,23.9758,0.8122,15.8023,0.4020,inf,0.0676,1.2889,0.0998,-11.8366,41.8525,19.3413,-9.6944,0.2265,4.5076,1.0417,-0.4320,-2.8518,0.0041,0.0041
"{'len_short': 15, 'len_mid': 50, 'len_long': 160, 'adx_len': 12, 'adx_threshold': 21}",5402,32936.0000,-0.0756,6.4344,-25.6374,11.2520,106434.3787,136483.7719,1030.7929,23.9758,0.7616,16.2581,0.3683,inf,0.0686,0.9610,0.1060,-11.9668,41.9271,19.7876,-9.8837,0.2240,4.5694,1.0259,-0.4353,-1.2561,0.0041,0.0041
"{'len_short': 5, 'len_mid': 50, 'len_long': 160, 'adx_len': 16, 'adx_threshold': 21}",5402,29284.0000,-0.0760,6.2559,-24.2104,10.0390,106255.8863,134470.7833,918.8863,23.9758,0.7992,14.1600,0.3882,inf,0.0684,1.2335,0.0947,-11.7621,41.6268,18.7864,-9.4484,0.2492,4.3492,1.0539,-0.9268,-1.9076,0.0039,0.0039
"{'len_short': 20, 'len_mid': 50, 'len_long': 160, 'adx_len': 12, 'adx_threshold': 21}",5402,32759.0000,-0.0763,6.3702,-25.5401,11.1846,106370.1971,136211.7209,1024.6805,23.9758,0.7529,16.1964,0.3634,inf,0.0685,0.9312,0.1055,-11.9937,41.8884,19.6607,-9.8398,0.2125,5.0762,1.0115,-0.4306,-1.2590,0.0041,0.0041
"{'len_short': 10, 'len_mid': 50, 'len_long': 160, 'adx_len': 16, 'adx_threshold': 21}",5402,29245.0000,-0.0763,6.1783,-24.2282,10.0075,106178.3006,134430.5308,917.2692,23.9758,0.7863,14.1367,0.3802,inf,0.0675,1.1900,0.0944,-11.7415,41.5128,18.8311,-9.4669,0.2470,4.3252,1.0597,-0.6727,-1.8487,0.0039,0.0039
"{'len_short': 5, 'len_mid': 60, 'len_long': 160, 'adx_len': 16, 'adx_threshold': 21}",5402,26974.0000,-0.0764,6.4995,-24.1790,10.1387,106499.5348,135433.5558,856.6280,23.9758,0.8157,14.1872,0.4068,inf,0.0624,1.3591,0.0964,-11.7008,42.6628,18.6797,-9.3181,0.4290,2.8660,1.2657,-0.5640,-0.8876,0.0059,0.0059
"{'len_short': 10, 'len_mid': 60, 'len_long': 160, 'adx_len': 16, 'adx_threshold': 21}",5402,26886.0000,-0.0766,6.4329,-24.1360,10.0909,106432.8722,135287.6730,853.2699,23.9758,0.8094,14.1356,0.4057,inf,0.0618,1.3168,0.0959,-11.7013,42.5588,18.7187,-9.3289,0.4544,2.8837,1.2973,-0.4534,-0.8859,0.0059,0.0059
"{'len_short': 15, 'len_mid': 50, 'len_long': 160, 'adx_len': 14, 'adx_threshold': 21}",5402,30977.0000,-0.0766,6.4034,-24.9233,10.6208,106403.3711,135577.9119,972.3802,23.9758,0.7902,15.8335,0.3868,inf,0.0664,1.1921,0.1000,-11.8754,41.7542,19.3440,-9.7322,0.2152,4.4494,1.0284,-0.4496,-1.4910,0.0041,0.0041
"{'len_short': 20, 'len_mid': 50, 'len_long': 160, 'adx_len': 15, 'adx_threshold': 21}",5402,29990.0000,-0.0767,6.5379,-24.5282,10.2918,106537.8713,135103.7973,940.5740,23.9758,0.8311,15.6295,0.4100,inf,0.0684,1.3635,0.0973,-11.7911,41.7218,19.1833,-9.5790,0.2552,5.1413,1.0841,-0.6120,-2.9735,0.0041,0.0041
"{'len_short': 15, 'len_mid': 40, 'len_long': 160, 'adx_len': 16, 'adx_threshold': 21}",5402,32575.0000,-0.0771,6.3323,-24.2698,9.9406,106332.2918,133941.3118,1007.9611,23.9758,0.7950,14.1835,0.3676,inf,0.0838,1.3598,0.0925,-11.8790,40.9518,18.9817,-9.5706,0.2120,2.7794,1.0131,-0.5242,-1.1040,0.0028,0.0028
"{'len_short': 20, 'len_mid': 40, 'len_long': 160, 'adx_len': 16, 'adx_threshold': 23}",5402,29810.0000,-0.0773,6.0611,-23.1533,9.0502,106061.1319,132185.4963,922.6410,23.9758,0.7704,13.5018,0.3620,inf,0.0839,1.5141,0.0847,-11.6173,40.9516,17.8664,-9.2223,0.1983,2.9558,0.9840,-1.1028,-0.8641,0.0044,0.0044
"{'len_short': 20, 'len_mid': 50, 'len_long': 160, 'adx_len': 16, 'adx_threshold': 23}",5402,26617.0000,-0.0774,5.7947,-23.0246,9.0744,105794.6929,132452.0424,835.1361,23.9758,0.7442,13.3882,0.3612,inf,0.0680,1.2534,0.0857,-11.4671,41.6643,17.5518,-9.0823,0.2421,4.6457,1.0320,-0.7800,-2.3974,0.0039,0.0039
"{'len_short': 15, 'len_mid': 40, 'len_long': 160, 'adx_len': 16, 'adx_threshold': 23}",5402,29797.0000,-0.0774,5.9961,-23.1584,9.0449,105996.1164,132106.8285,922.1042,23.9758,0.7617,13.4989,0.3554,inf,0.0837,1.4508,0.0846,-11.6311,40.9340,17.8363,-9.2181,0.1896,2.9514,0.9737,-1.0992,-0.8702,0.0044,0.0044
"{'len_short': 15, 'len_mid': 50, 'len_long': 160, 'adx_len': 15, 'adx_threshold': 21}",5402,30081.0000,-0.0777,6.5304,-24.6037,10.3185,106530.3632,135231.8146,943.2647,23.9758,0.8228,15.6653,0.4033,inf,0.0674,1.3397,0.0974,-11.8188,41.6792,19.2114,-9.6019,0.2498,4.5703,1.0773,-0.6156,-1.6244,0.0041,0.0041
"{'len_short': 20, 'len_mid': 50, 'len_long': 160, 'adx_len': 14, 'adx_threshold': 23}",5402,28502.0000,-0.0778,5.9628,-23.8736,9.7578,105962.7821,133626.6526,893.7040,23.9758,0.7495,15.1792,0.3680,inf,0.0664,1.1339,0.0922,-11.6569,41.4621,18.3378,-9.3718,0.2184,4.2468,1.0205,-0.6780,-1.2384,0.0039,0.0039
"{'len_short': 10, 'len_mid': 50, 'len_long': 160, 'adx_len': 13, 'adx_threshold': 21}",5402,32071.0000,-0.0779,6.4024,-25.3488,10.9975,106402.4191,136117.9039,1005.8901,23.9758,0.7583,16.0613,0.3696,inf,0.0648,0.9995,0.1034,-11.9414,41.6662,19.4489,-9.8259,0.1695,4.3108,0.9676,-0.4091,-0.9628,0.0041,0.0041
"{'len_short': 10, 'len_mid': 40, 'len_long': 160, 'adx_len': 16, 'adx_threshold': 21}",5402,32526.0000,-0.0780,6.1720,-24.2363,9.9109,106171.9641,133674.9953,1005.6647,23.9758,0.7520,14.1315,0.3442,inf,0.0826,1.2450,0.0922,-11.9259,40.8707,18.8128,-9.5759,0.1718,2.7121,0.9610,-0.5274,-1.0657,0.0028,0.0028
"{'len_short': 20, 'len_mid': 40, 'len_long': 160, 'adx_len': 14, 'adx_threshold': 23}",5402,31680.0000,-0.0781,5.7579,-23.9069,9.6717,105757.9095,132663.8590,977.1678,23.9758,0.6994,13.9357,0.3234,inf,0.0806,1.0203,0.0901,-11.8170,40.7703,18.1969,-9.4826,0.1173,2.5800,0.8758,-2.1116,-1.0525,0.0028,0.0028
"{'len_short': 10, 'len_mid': 40, 'len_long': 160, 'adx_len': 16, 'adx_threshold': 23}",5402,29713.0000,-0.0782,5.8419,-23.1091,9.0059,105841.8578,131861.5819,918.8946,23.9758,0.7290,13.4463,0.3387,inf,0.0822,1.3324,0.0842,-11.6385,40.8654,17.7076,-9.2228,0.1589,2.9057,0.9365,-1.0924,-0.9702,0.0044,0.0044
"{'len_short': 20, 'len_mid': 40, 'len_long': 160, 'adx_len': 13, 'adx_threshold': 21}",5402,35094.0000,-0.0783,6.4894,-25.1672,10.7489,106489.4466,135067.1828,1084.9652,23.9758,0.7660,14.7192,0.3601,inf,0.0816,1.2689,0.0999,-12.0467,41.1000,19.3963,-9.8425,0.1119,2.3898,0.8781,-0.4512,-0.8501,0.0028,0.0028
"{'len_short': 20, 'len_mid': 60, 'len_long': 160, 'adx_len': 13, 'adx_threshold': 21}",5402,29458.0000,-0.0785,6.9580,-25.2095,11.0627,106957.9850,137232.0841,935.3381,23.9758,0.8450,16.0267,0.4285,inf,0.0625,1.3953,0.1054,-11.9246,42.5967,19.5761,-9.6794,0.3988,3.8059,1.2499,-0.5767,-0.7343,0.0059,0.0059
"{'len_short': 20, 'len_mid': 40, 'len_long': 160, 'adx_len': 12, 'adx_threshold': 21}",5402,36073.0000,-0.0785,6.4344,-25.5579,11.0183,106434.4076,135478.0314,1113.8455,23.9758,0.7396,14.9238,0.3377,inf,0.0819,1.1423,0.1027,-12.1478,41.1160,19.6493,-9.9059,0.1192,2.3812,0.8844,-0.4099,-0.7817,0.0028,0.0028
"{'len_short': 20, 'len_mid': 40, 'len_long': 160, 'adx_len': 15, 'adx_threshold': 21}",5402,33391.0000,-0.0785,6.3987,-24.6111,10.2041,106398.7152,134400.8833,1032.7803,23.9758,0.7860,14.4138,0.3664,inf,0.0821,1.3032,0.0951,-11.9478,40.9883,19.2233,-9.6730,0.1870,2.5903,0.9833,-0.4836,-1.3553,0.0028,0.0028
"{'len_short': 15, 'len_mid': 50, 'len_long': 160, 'adx_len': 16, 'adx_threshold': 23}",5402,26653.0000,-0.0785,5.8222,-23.0656,9.0902,105822.2122,132518.4058,836.1965,23.9758,0.7442,13.4039,0.3600,inf,0.0678,1.2641,0.0858,-11.4934,41.6211,17.5610,-9.0871,0.2372,4.6372,1.0271,-0.9176,-1.0019,0.0039,0.0039
"{'len_short': 20, 'len_mid': 40, 'len_long': 160, 'adx_len': 15, 'adx_threshold': 23}",5402,30778.0000,-0.0786,5.8353,-23.5819,9.3544,105835.3156,132476.0247,950.1482,23.9758,0.7142,13.6809,0.3311,inf,0.0818,1.1707,0.0874,-11.7180,40.9095,18.1281,-9.3366,0.1513,2.6066,0.9322,-0.7085,-1.1235,0.0028,0.0028
"{'len_short': 20, 'len_mid': 50, 'len_long': 160, 'adx_len': 15, 'adx_threshold': 23}",5402,27580.0000,-0.0788,5.8178,-23.4917,9.4199,105817.7824,133099.7832,864.1890,23.9758,0.7353,14.8578,0.3565,inf,0.0664,1.0956,0.0889,-11.5495,41.5280,17.9821,-9.1913,0.2369,5.4723,1.0391,-0.7182,-2.5445,0.0039,0.0039
"{'len_short': 20, 'len_mid': 60, 'len_long': 160, 'adx_len': 15, 'adx_threshold': 21}",5402,27605.0000,-0.0789,6.6941,-24.4545,10.3588,106694.0558,136019.5741,875.4441,23.9758,0.8318,15.5516,0.4177,inf,0.0613,1.3467,0.0987,-11.7585,42.5685,19.0873,-9.4227,0.4525,3.5525,1.3144,-0.5121,-1.2404,0.0059,0.0059
"{'len_short': 20, 'len_mid': 40, 'len_long': 160, 'adx_len': 14, 'adx_threshold': 21}",5402,34243.0000,-0.0791,6.2178,-24.8952,10.4757,106217.7972,134512.8977,1058.1253,23.9758,0.7364,14.5385,0.3397,inf,0.0802,1.1155,0.0973,-12.0100,41.0568,19.2641,-9.7796,0.1269,2.4216,0.9025,-0.4545,-1.1966,0.0028,0.0028
"{'len_short': 15, 'len_mid': 50, 'len_long': 160, 'adx_len': 14, 'adx_threshold': 23}",5402,28616.0000,-0.0792,5.9450,-23.9738,9.7947,105945.0447,133765.5622,896.9194,23.9758,0.7392,15.2166,0.3598,inf,0.0657,1.0897,0.0925,-11.7012,41.4497,18.3791,-9.4013,0.2140,4.1818,1.0166,-0.8123,-1.2513,0.0039,0.0039
"{'len_short': 20, 'len_mid': 60, 'len_long': 160, 'adx_len': 16, 'adx_threshold': 23}",5402,24381.0000,-0.0792,6.1035,-22.8722,9.1215,106103.4567,133266.7888,773.9061,23.9758,0.7646,13.3416,0.3814,inf,0.0617,1.4583,0.0869,-11.3989,42.5215,17.3790,-8.8548,0.4711,3.3032,1.2862,-0.5845,-0.8042,0.0059,0.0059
"{'len_short': 15, 'len_mid': 40, 'len_long': 160, 'adx_len': 14, 'adx_threshold': 23}",5402,31742.0000,-0.0794,5.6502,-23.9616,9.6879,105650.1988,132620.7722,978.3357,23.9758,0.6726,13.9549,0.3043,inf,0.0795,0.9093,0.0902,-11.8497,40.6898,18.1680,-9.5094,0.0974,2.5448,0.8551,-2.1407,-1.1057,0.0028,0.0028
"{'len_short': 10, 'len_mid': 50, 'len_long': 160, 'adx_len': 14, 'adx_threshold': 21}",5402,31107.0000,-0.0794,6.2098,-25.0012,10.6578,106209.7933,135460.2426,975.6258,23.9758,0.7444,15.8402,0.3562,inf,0.0644,0.9808,0.1002,-11.9135,41.5269,19.2448,-9.7539,0.1617,4.4751,0.9673,-0.4438,-1.2770,0.0041,0.0041
"{'len_short': 15, 'len_mid': 40, 'len_long': 160, 'adx_len': 15, 'adx_threshold': 23}",5402,30795.0000,-0.0795,5.7516,-23.6134,9.3556,105751.6399,132449.6995,950.2337,23.9758,0.6985,13.6865,0.3192,inf,0.0814,1.0777,0.0873,-11.7397,40.8519,18.1131,-9.3359,0.1392,2.6032,0.9190,-0.7286,-1.1172,0.0028,0.0028
"{'len_short': 5, 'len_mid': 50, 'len_long': 160, 'adx_len': 14, 'adx_threshold': 21}",5402,31345.0000,-0.0797,6.1991,-25.0749,10.7551,106199.1113,135547.6484,982.8150,23.9758,0.7381,15.8928,0.3513,inf,0.0647,0.9129,0.1010,-11.9233,41.6581,19.2121,-9.7614,0.1482,4.4382,0.9447,-0.4612,-2.6933,0.0041,0.0041
"{'len_short': 5, 'len_mid': 40, 'len_long': 160, 'adx_len': 16, 'adx_threshold': 21}",5402,32508.0000,-0.0798,6.1683,-24.2362,9.9135,106168.3403,133607.6977,1005.5883,23.9758,0.7452,14.1188,0.3416,inf,0.0821,1.2315,0.0923,-11.9375,40.8785,18.6068,-9.5623,0.1475,2.8806,0.9221,-0.5354,-1.0022,0.0028,0.0028
"{'len_short': 15, 'len_mid': 60, 'len_long': 160, 'adx_len': 16, 'adx_threshold': 23}",5402,24435.0000,-0.0798,6.1043,-22.9026,9.1406,106104.2538,133269.9253,775.4260,23.9758,0.7599,13.3583,0.3786,inf,0.0613,1.4505,0.0870,-11.4136,42.5546,17.3787,-8.8794,0.4565,3.2522,1.2694,-0.6229,-0.7921,0.0059,0.0059
